museum,number,Genus,species,mass,wing,bill,tarsus,photo,age,5bar,growth,latitude,longitude,Elevation,Locality string,country,state,Sex,Day,Month,Year
LSUMZ,57819,Cyclarhis,gujanensis,,,,,,a,1.24,2.48,-27.466667,-58.833333,0,"Ituzaningo, Ea. Puerto Valle",Argentina,Corrientes ,F,15,Nov,1962
LSUMZ,57820,Cyclarhis,gujanensis,,,,,,a,1.24,2.48,-27.466667,-58.833333,0,"Ituzaningo, Ea. Puerto Valle",Argentina,Corrientes ,M,16,Nov,1962
LSUMZ,57828,Cyclarhis,gujanensis,,,,,,a,1.24,2.48,-27.466667,-58.833333,0,"Ituzaningo, Ea. Puerto Valle",Argentina,Corrientes ,M,2,Dec,1962
LSUMZ,57832,Cyclarhis,gujanensis,,,,,,a,1.23,2.46,-27.466667,-58.833333,0,"Ituzaningo, Ea. Puerto Valle",Argentina,Corrientes ,F,4,Dec,1962
LSUMZ,57802,Cyclarhis,gujanensis,,,,,,a,1.21,2.42,-27.466667,-58.833333,0,"Ituzaningo, Ea. Puerto Valle",Argentina,Corrientes ,M,7,Nov,1962
LSUMZ,57815,Cyclarhis,gujanensis,,,,,,a,1.2,2.4,-27.466667,-58.833333,0,"Ituzaningo, Ea. Puerto Valle",Argentina,Corrientes ,F,13,Nov,1962
LSUMZ,57833,Cyclarhis,gujanensis,,,,,,u,1.16,2.32,-27.466667,-58.833333,0,"Ituzaningo, Ea. Puerto Valle",Argentina,Corrientes ,M,11,Dec,1962
LSUMZ,57809,Cyclarhis,gujanensis,,,,,,a,1.1,2.2,-27.466667,-58.833333,0,"Ituzaningo, Ea. Puerto Valle",Argentina,Corrientes ,F,10,Nov,1962
LSUMZ,57823,Cyclarhis,gujanensis,,,,,,a,1.1,2.2,-27.466667,-58.833333,0,"Ituzaningo, Ea. Puerto Valle",Argentina,Corrientes ,M,24,Nov,1962
LSUMZ,57830,Cyclarhis,gujanensis,,,,,,a,1.09,2.18,-27.466667,-58.833333,0,"Ituzaningo, Ea. Puerto Valle",Argentina,Corrientes ,F,3,Dec,1962
LSUMZ,57800,Cyclarhis,gujanensis,,,,,,u,1,2,-27.466667,-58.833333,0,"Ituzaningo, Ea. Puerto Valle",Argentina,Corrientes ,M,5,Nov,1962
